asset,shock,mode,family,level,tvl_initial,tvl_final,total_liquidations,total_liquidated_value_usd,final_bad_debt_usd,liquidation_efficiency
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.375,Agent,ltv_targeted,-0.10,86203445.8167539,86203445.8167539,28,9922743.504607454,33698.738468833704,8.809367725008087
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.35,Agent,ltv_targeted,-0.10,87480857.79273784,87480857.79273784,28,10067365.458564434,23481.54670248054,10.215749554802555
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.325,Agent,ltv_targeted,-0.10,88783729.93361346,88783729.93361346,25,10206799.554764196,12946.208386832297,14.021661439276684
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.3,Agent,ltv_targeted,-0.10,90256902.75384371,90256902.75384371,20,10196094.825819632,2203.1764460974523,55.622331576076476
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.275,Agent,ltv_targeted,-0.10,92024878.54535843,92024878.54535843,16,9902001.430681126,0.0,1.0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.25,Agent,ltv_targeted,-0.10,102661523.39567916,102661523.39567916,12,756989.9608756738,0.0,1.0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.225,Agent,ltv_targeted,-0.10,104187095.5466049,104187095.5466049,7,743005.3510504373,0.0,1.0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.2,Agent,ltv_targeted,-0.10,105714242.92264445,105714242.92264445,7,747399.6766965721,0.0,1.0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.175,Agent,ltv_targeted,-0.10,107261367.34117764,107261367.34117764,5,751771.1204342596,0.0,1.0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.15,Agent,ltv_targeted,-0.10,109578489.5526616,109578489.5526616,3,6097.502334568339,1.429471785428552,22.482111379261713
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.125,Agent,ltv_targeted,-0.10,111175166.26425262,111175166.26425262,2,822.4296186566398,3.974037878477005,6.215344126825516
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.1,Agent,ltv_targeted,-0.10,112786521.37288317,112786521.37288317,2,823.0881955403595,6.550856878453402,2.935104651763918
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.075,Agent,ltv_targeted,-0.10,114418189.16746798,114418189.16746798,1,465.1889816469497,9.16009756784763,1.7517439832206998
